Title,Company,Industry,Role,Salary,City,Description,Experience,RecruiterName,RecruiterNumber,Website
Hiring Manager HR @ Perficient India Pvt. Ltd - Nagpur,Perficient India Pvt Ltd.,"IT-Software, Software Services",Practice Head / Practice Manager,Not Disclosed by Recruiter,nagpur,"RESPONSIBILITIES OF HCM MANAGER:      Engineering / Reengineering and designing key organizational processes to improve efficiency and effectiveness  Managing quality & timely delivery of HR policies, processes & programs  Facilitating HR planning and strategic business planning sessions with leadership teams  Executing and enhancing various HR programs, including benefits, compensation & incentive administration, performance appraisals, and other key programs  Leading/coaching staff to ensure achievement of goals & potential  Managing executive level searches  Educating, consulting, and influencing management regarding talent acquisition, selection, deployment, development & retention  Providing advice, counsel and leadership regarding policy, practices and decision-making for all HR issues and activities (bonus and performance review, employee relations, diversity initiatives, training and development, compensation and benefits, employment, organizational development and compliances with relevant laws).  Understanding and applying change management philosophy.  Leading and living a leadership role.  Developing and articulating human resource policies and practices.  Establishing and maintaining effective working relationships.  Providing advice, coaching and counsel to leaders while managing employee relations, compensation, compliance, performance management and policy administration.  Providing leadership and develop capabilities for the HR staff.            SKILL HCM MANAGER SHOULD POSSESS      Ten (10+) years of progressive generalist experience in the full range of HR functional areas.  Five (5+) years of proven organizational leadership and succession planning, developing & executing HR strategy.  Experience in government contracting environment; proposal experience desirable.  Effective problem-solving, consulting, communication & leadership skills.  Managing and developing an HR team; group facilitation skills.  Bachelors/Masters degree in HR or Business.",10 - 14 yrs,AmitPrayagi,+91-9960877222,https://www.perficient.com/
HR Business Partner - Financial Services,Pinnacle Search Services,"Accounting, Finance",HR Business Partner,Not Disclosed by Recruiter,nagpur,"MBA IN HR with min 8 to 10 years of experience of which the past 5 years should have been in a HR Generalist or Business Partnering role  Key responsibilities :  - Recruitment: Manpower planning; Budgeting; Organization restructuring; Talent Acquisition   - Training & Development: Managing training life cycle; Facilitating design, development & delivery of functional, behavioral & leadership development programs  - Talent Management: Driving mentor-ship program for top performers in mid-senior level positions; Facilitating job rotations and International deputations; Conducting field transition programs & preparatory workshops for fast-track schemes; Facilitating Talent Review Board Meetings, Management Development Programs.   - Engagement: Drive engagement survey, analyzed organization climate and conducted action planning workshops, monitoring implementation & effectiveness;   Develop engagement calendar; Driving engagement activities like Goal Setting/ Review Workshop, Townhall, Skip level, Family Day, CSR, Sports, festive celebrations, Outbound Programs, R&R & diversity initiatives;   - PMS: Drive the PMS process within the region  - HR Analytics - HR Dashboard, Business MIS, Budgeting, HR Costing; Analyzing attrition trend, Sensitizing business on attrition factors and Initiating retention measures.",8 - 10 yrs,HR,NA,NA
"Customer Care Executive, Technical Support(voice), upto 32.5k Salary",Global BPO,"BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical),"INR 2,50,000 - 4,00,000 PA. Relocation Bonus(upto 10,000) + 15 Days Accommodation + Travel Reimbursement(700rs) + Incentive/perks",nagpur,"Greetings!!!  We are hiring freshers for reputed  E-Commerce Domestic and International BPO for Voice and Backend process.     Contact - Telephonic Interview     Job Type: Full-time   Locations:     Indore, MP  Jaipur, RJ  Mohali, PB    Responsibilities:     The candidate is required to attend to the customer calls and provide them with the required information.  The candidate should be able to understand the client's complaints and work upon resolving them.  The candidate will be responsible for efficient dealing of complaints to completion and enabling satisfaction of the customer.    Skills:     Candidate with good customer service skills would be preferred.  Both freshers, as well as experienced candidates, can apply  Candidate should have good client servicing skills    Educational requirements:   High School/Graduates/B Tech/Dropouts   Salary:   17000-32500 + Relocation Bonus(Upto 10,000) + 15 Days Accommodation + Travel Reimbursement(700Rs) + Incentive/perks",0 - 5 yrs,Teleperformance,NA,NA
Senior Executive - Business Development - Liquor,Morpheus Consulting,"FMCG, Foods, Beverage",Sales Executive/Officer,Not Disclosed by Recruiter,nagpur,"Job Title : Sr. Executive - Business Development - Chattisgarh/Nagpur   Category : Liquor   Job Description : A Leading Liquor Company based in Mumbai requires a Sr. Executive - Business Development -Chattisgarh/Nagpur and the responsibilities include   Job Title : Sr. Executive - Business Development - Chattisgarh/Nagpur  Job Responsibilities :   Business Development :   - Visiting the market as per the visit plan  - Maintaining relationship with the customer  - Adding new customers  - Achievement of sales targets as per the business plan  - Acquaint with the product information  Sales Booking :  - Booking Sales Orders and credit notes  - Obtain on time order confirmations from the customer, follow up for permits and other required documents with customers  - Coordination for ensuring Label registrations  - Ensuring on time deliveries to customers  - Preparation of daily reports   Collections :   - Follow up with customers for collections  - Follow up for C Forms collections  - Follow up for EVC collections",3 - 5 yrs,HR,NA,NA
Telesales Professional,StepUpFind,"Banking, Financial Services, Broking",Telesales/Telemarketing Executive/Officer,Not Disclosed by Recruiter,nagpur,"Opening for Telecaller At Nagpur Location  Min. 1 Yr experience in Telecalling sales  Job Description for TC :  -  Be responsible for BU revenue by ensuring enough demos for home-demo team   -  Advise present or prospective customers by calling registered customers   -  Influence customers to agree for a home demo by following a prepared script to give company information   -  Operate telephone equipment, automatic dialing systems, and other telecommunications technologies   -  Pass customer feedback to company representatives through  well  defined  processes  Qualification & Skills :  -  Graduate   -  Proficient in English and local language   -  Excellent written and verbal communication skills   -  Possess excellent team building and people management abilities   -  Thrive in a fast-paced environment",1 - 6 yrs,HR,NA,NA
Regional Manager - Sales - Fertilizer & Chemical,The Giant HR,"Fertilizers, Pesticides",Regional Sales Manager,Not Disclosed by Recruiter,nagpur,"Job Profile:  - Should have Sales & Marketing experience in Agro Chemical industry.  - Exploring the New business opportunities  - Responsible to achieve the assigned targets of the Business Unit  - Managing the Channel Sales  - Executing the promotional plans  - Adding new business partners  - Leading sales team  - Responsible for the collection of outstanding  Job Specification:  - Candidate should be graduate in Agriculture, PG in Agriculture is preferable.  - Candidates should be Dynamic in managing and should be capable of scaling up to next level.  Interested candidate shall share the profile.",6 - 10 yrs,HR,NA,NA
Regional Manager - Sales - Fertilizer &amp; Chemical,The Giant HR,"Accounting, Finance",Regional Sales Manager,Not Disclosed by Recruiter,nagpur,"Roles and responsibilities Urgent Opening for NSE/BSE Listed Chemical and Fertilizer company in India  Location: Kurnool, Rajahmundry (Andhra Pradesh), Pune, Nagpur  Designation: Regional Manager Sales  Education: BE/Btech Chemical  Experience: 6 - 12Years  Salary : As per Industry Standards  Job Profile:  - Should have Sales & Marketing experience in Agro Chemical industry.  - Exploring the New business opportunities  - Responsible to achieve the assigned targets of the Business Unit  - Managing the Channel Sales  - Executing the promotional plans  - Adding new business partners  - Leading sales team  - Responsible for the collection of outstanding Required Candidate profileJob Specification:- Candidate should be graduate in Agriculture, PG in Agriculture is preferable.- Candidates should be Dynamic in managing and should be capable of scaling up to next level.",6 - 10 yrs,HR,NA,NA
Urgently Required Store Manager,Future Retail Limited,"Retail, Wholesale",Retail Store Manager,"INR 11,00,000 - 15,00,000 PA.",nagpur,"Urgently Required Store Manager with Retail background(Food/Fashion) or Hotel Industry in East Zone(Nagpur, Raipur, Bihar, Jharkhand, West Bengal, Orissa, North-East)  Job Description: REVENUE GENERATION: *	Preparation of budget. *	Achieving sales targets/ABP & ensuring profitability of the store. *	Achieving budgeted numbers on Conversions, Bill Size, Value per Customer. *	Implementing measures for Cost Control. *	Achieving PBDIT. *	Developing new avenues for promoting the business. OPERATIONS: *	Ensuring all activities during store opening and store closing. *	Ensuring that all Cash tills are functioning optimally and minimum manual bills are prepared. *	Co-ordinating with IT on issues relating to cataloguing, cashiering, schemes etc. *	Co-ordinating with Category Management team to ensure proper running of the schemes. *	Oversees outsourced functions of Housekeeping and Security, with a view to optimise their utilization. PEOPLE MANAGEMENT *	Providing on the job training to staff. *	Imparting training to DMs, ADMs on Product Knowledge, Merchandising, Inventory Management, Sales Planning, Sales Budgeting in co-ordination with the HR, *	Ensures that all employees are disciplined and adhere to the stores policies. *	Inspects staff grooming *	Develops & maintains a motivated and enthusiastic team who would achieve and exceed targets. *	Creates a professional environment for internal as well as external customers. *	Boosting staff morale and developing the right attitude and team spirit in them. *	Discipline and decorum maintenance. *	Identification of potential people for higher responsibilities. *	Building relationships with institutes in and around the store for recruitment and for promotions. *	Succession planning. *	Responsible for Grooming and development of staff for future roles. *	Optimise employee productivity through effective communication and transparency. *	Minimize attrition. *	Ensure team should get incentives based on their targets. MARKETING *	Create/maintain a brand image of Food Bazaar. *	Co-ordinate with marketing department at Zonal Office for implementing marketing strategies/promotions. SPACE MANAGEMENT *	Analyse space allocation category-wise and subcategory-wise with respect to the Sales generated, stock capacity and seasons. *	Increase or decrease space allocation and make alteration of fittings on the basis of such analysis. SHOP IN SHOP *	Appointment of shop in shops. *	Monitoring the performance through various reports. *	Space selling for advertisements, displays, and promotions CUSTOMER SERVICE *	Resolving customer complaints. *	Interacting with customers & obtaining their feedback. *	Monitoring activities of CSD. *	Formulating policies and processes to make CSD more customer friendly and effective in its purpose. *	Addresses concerns and queries of customers by being personally available to them *	Customer Relations Management. *	Lends a direction towards Customer Service Management. INVENTORY MANAGEMENT *	Approves the Good Receipt Note (GRN) for Food Bazaar. *	Co-ordinates with Warehouse In charge for stock movement both inward & outward. *	Ensures that optimum stock levels are maintained by all the departments through an efficient ordering system. *	Ensures that no good moves out of the store without proper delivery challan. VISUAL MERCHANDISING *	Maintains the look of the store in consultation with the Visual Merchandiser. *	Visual Presentation of merchandise. *	Identify, lend direction, strategy to the placement of tools of Visual Merchandising. *	Improving & maintaining the faade of the store. *	Ensure clear-cut communication through signage's. LIAISONING *	Liaison with various Govt. bodies for permissions and licenses required for smooth operations of the Store. *	Liaison with Corporates and Institutions for bulk sales to them. *	Maintain cordial relation with mall management authorities. COMPETITION MAPPING *	Develop awareness about the organized, unorganised retailing segments and identifying their strengths and weaknesses. *	Identifying competitors in each and every category. Comparing their prices, their suppliers with that of ours. *	Comparing the physical appearances, fixtures, lighting and area allocation per category of competitors' vis- -vis those of Food Bazaar. *	SWOT analysis of all the major surrounded authorities. PRODUCT UPDATES *	Updates the merchandising team of the latest trends in the market. *	Update the merchandising team of the fast movers/slow movers and making marketing strategy in coordination with category to ensure desired stock turnover. CONTROLLING PILFERAGE *	Develops systems to control pilferage/shoplifting. *	Identification of the merchandise likely to be pilfered. *	Identifying areas in the store where security is to be beefed up. SUPPORT NEW STORE OPENING *	Provide assistance to the project team in terms of liaisoning with Govt. bodies, compliance issues, and setting up of systems & processes. *	Identifying staffs that have expertise in their functional areas, and assigning them the responsibility of guiding the new project team in setting up the systems & processes. GENERAL MAINTENANCE *	Supervising the fixed assets in the store. *	Handling the local purchases of materials for maintenance as and when needed. *	Monitoring electricity and AC usage and ensuring optimum utilization of energy, thereby resulting in Cost Reduction.  Job Specifications: *	MBA/ PG Diploma in retail, sales and marketing would be added advantage. *	Hotel Industry/Hospitality Management *	Preferably from large retail/FMCG/Food. *	Ability to understand customers' pulse and meet expectations of customers. *	Pleasing personality, excellent communication, interpersonal and presentation skills. *	Good business acumen, cost and quality consciousness and planning and organizing capabilities.  Experience: 9 to 15 Years  CTC: 11L to 16 L",10 - 16 yrs,NA,NA,NA
Sales Professional - Automobile,Careerz Inn,"Automobile, Auto Anciliary, Auto Components",Sales/Business Development Manager,Not Disclosed by Recruiter,nagpur,Looking for Smart Dynamic Male with Sales experience in any Automobile Industry who will be required to do sales for Passenger / Luxury cars.  Job Responsibilities:  -  Responsible for achieving defined targets for sales by unit and gross profit.  -  Make cold calls.  -  Identify individual needs of existing and potential customers and exceed their expectations.  -  Maximize sale by demonstrating vehicles.  -  Prospect for potential customers for vehicles and ancillary products.  -  Record customer details in customer database.  -  Maintain an owner follow-up system in order to encourage repeat and referral business.  -  Carryout a market survey for updation on competition and knowledge on competitor vehicles.  -  Assist customers in availing the finance options during sales of the vehicle.  -  Assist customers for completion of paper work during and post sale of the vehicle.  -  Prepare all relevant documents required during sale of a vehicle as guidelines  -  Regularly carry-out liaison with Sales administration to ensure customer vehicles are available on time and all details are accurate  -  Arrange and conduct Road-shows.,3 - 7 yrs,HR,NA,NA
"Branch Manager - Equitas Bank - Mumbai, Pune & Nagpur",Equitas Small Finance Bank Ltd,"Banking, Financial Services, Broking",Branch Manager,"INR 8,00,000 - 13,00,000 PA.",nagpur,"1.	Set and achieve high performance targets for Current Accounts & Saving Accounts (CASA) both in terms of nos. and also in terms of value through Sales Manager & team of Sales Officers and Business Correspondent Manager & network of Customer Service Points. Set and achieve high performance targets for sales of third party products like Insurance, Mutual Funds, etc. through Sales Manager and team of Sales Officers and Business Correspondent Manager & network of Customer Service Points. 2.	Set and achieve high performance targets for high value customers like high net worth individuals, government departments, societies, trusts, salary accounts, etc. through Relationship Manager. Provide high quality service to existing & new customers who walk-in to the Branch through Branch Operations Manager and team of Customer Service Officers. Actively generate & pass-on leads for cross-sell products like Gold Loan, Two-Wheeler loan, Car Loan, Home Loan, etc. sourced through the entire Branch team and network of Customer Service Points. 3.	Ensure 100% compliance to Policies & Processes and all regulatory matters of RBI and other statutory bodies. 4.	Recruit, onboard, mentor, review, train & develop and retain Branch Staff. Prepare MIS & other reports and necessary corrective and preventive action.     If interested kindly share your cv at sanjus@equitasbank.com",7 - 12 yrs,NA,NA,NA
Sr. Software Engineer - Java & Angular JS,TECHNOMILE SOFTWARE SOLUTIONS PRIVATE LIMITED,"IT-Software, Software Services",Software Developer,Not Disclosed by Recruiter,nagpur,"Job Description:  We are looking for a Java & Angular Developer responsible for managing back-end services and the interchange of data between the server and the user. Candidate's primary focus will be the development of all server-side logic, definition, and maintenance of the central database, and ensuring high performance and responsiveness to requests from the front-end. Candidate will also be responsible for integrating the front-end elements built by your co-workers into the application; therefore, a basic understanding of front-end technologies is necessary as well. - Integration of user-facing elements developed by front-end developers - Building efficient, testable, and reusable Angular components - Solving complex performance problems and architectural challenges - Solid understanding of Technical architecture. - Should take part in software development activities. - Define implementation approaches, algorithms and code structure to meet the requirements. - Excellent Problem-solving Skills. - Exposure to relational databases like Oracle, MySQL and some NoSQL database like MongoDB. - Expertise in Object-Oriented Programming/ Development and Design skills. - Identify, prioritize and execute tasks in the software development life cycle. - Develop tools and applications by producing clean, efficient code. - Review and debug code. - Ability to work independently.  Skills and Qualifications:  - Knowledge of object-oriented PHP programming - Strong knowledge of Angular and its extensive feature set - Understanding of basic Angular conventions and patterns - Knowledge of Angular object-relational mapping (ORM) - Knowledge of Angular suite of helpers and their use in the presentation layer - Basic understanding of front-end technologies, such as JavaScript, HTML5, and CSS3 - Understanding fundamental design principles behind a scalable application - Integration of multiple data sources and databases into one system - User authentication and authorization between multiple systems, servers, and environments - Creating database schemas that represent and support business processes - Familiarity with SQL/NoSQL databases and their declarative query languages",4 - 7 yrs,HimaniPatre,8669668765,NA
UI UX Designer,TECHNOMILE SOFTWARE SOLUTIONS PRIVATE LIMITED,"IT-Software, Software Services",Graphic/Web Designer,Not Disclosed by Recruiter,nagpur,"Roles and responsibilities    Job Description: -  1. Demonstrable UX and UI design skills (strong portfolio) 2. Conduct usability testing to resolve interface problems 3. Ensure design consistency with the client's development standards and guidelines 4. Design and build UIs on any server platform in a team environment 5. Guide and maintain developer teams and best practices 6. Integrate front-end application with the application business layer 7. Strong knowledge of W3C and WCAG2.0AAA coding standard   Job Requirements: -   1. HTML 5, CSS 3, JavaScript, JQuery, Ajax. 2. Wordpress 3. Adobe Creative Suite (Illustrator / Photoshop must) 4. Adobe AfterEffects / Premiere Pro (Plus Points) 5. Salesforce Lighting Design System (Plus Points)  Portfolio Examples: -   1. http://www. betatakaki. com/ 2. https://www. kristendegraff. design/ 3. Other links for reference -   https://www. mockplus. com/blog/ post/ui-designer -portfolio 4. Basically, the portfolio should showcase your work where you might have used different tools",3 - 4 yrs,HimaniPatre,8669668765,NA
Sales Leader - Store Supervisor - Premium Athlete Brand,Careerz Inn,"Retail, Wholesale",Retail Store Manager,Not Disclosed by Recruiter,nagpur,"We're Hiring a Young Energetic Male for an International Brand for the designation of Store Supervisor for the Location of Nagpur . Here are the Job Details :  Details :  - Gender : Male  - Age : Below 30 Years  - Experience : Min 2 years in Retail is required  - Qualification : Graduate  - English communication is mandatory.  Job Responsibility :  What is a Store Supervisor?  - The primary function of a store supervisor is to oversee a team of staff members within a retail store. They are also responsible for ensuring that financial objectives are met and that all aspects of the store are running smoothly at all times.  - Store supervisors can work for any type of retail store, whether they sell clothing, home goods, cookware, electronics, tools, or another type of merchandise. They work exclusively in a retail environment and may also have an office space where they can perform duties such as filing paperwork and working on a computer.  Store Supervisor Duties and Responsibilities :  In order to keep their staff on track and stay up to date on all of their store's goings-on, store supervisors perform a variety of tasks. We analyzed several online job postings to identify these core duties and responsibilities.  Oversee Staff :  One of the main duties of store supervisors is to oversee all the professional activities of their store's floor salespeople, cashiers, shelf stockers, and other employees. This can involve advising staff, providing regular performance reviews, training new staff members, and scheduling shifts.  Meet Financial Goals :  Another main duty of store supervisors is to do all they can to help their store meet its financial objects. This can include drawing up budgets, analyzing expenditures, evaluating the amount of merchandise delivered versus the amount of merchandise sold, and more.  Maintain Inventory :  Store supervisors are responsible for maintaining their store's inventory. In the back of the store, this means ensuring that deliveries are made on time, that inventory counts are accurate, and always remaining adequately stocked without unnecessary waste.  Maintain Sales Floor :  In addition to maintaining their store's inventory, store supervisors are responsible for maintaining their store's sales floor. This involves setting up new displays, ensuring that the store is clean and orderly, and making sure shelves are stocked.  Customer Service :  As one of the highest-ranking employees at a store, store supervisors regularly help customers, addressing their questions, concerns, and comments. This can include helping customers to find specific items, sorting out complex refunds, resolving complaints, and more.  Record Keeping :  To provide informed decisions, store supervisors must keep detailed records, including expenditure reports, sales figures, and employee performance. They will then use those records to help make smarter decisions in the future.  Store Supervisor Skills :  Successful store supervisors are highly organized people who are just as comfortable dealing with customers and motivating staff members as they are analyzing financial data. They have amicable personalities, are easy to talk to, and they are driven by tangible results. In addition to these general personality traits, employers look for store supervisors with the following skills and qualifications;  - Customer service skills since they frequently have to have face-to-face interactions with both happy and dissatisfied customers, store supervisors have to be experienced in customer service  - Attention to detail because supervising a store and a team of employees involves many different factors, its important that store supervisors have excellent attention to detail  - Financial acumen store supervisors have to file and analyze a large number of financial documents, thus, they must have the financial skills to create budgets, enter data into spreadsheets, use financial software, and analyze expense reports  - Communication skills in order to adequately communicate with both employees and customers, store supervisors must have strong communication skills  - Management skills because they are in charge of training, monitoring, and disciplining a team of multiple staff members, store supervisors have to have proven management skills  Store Supervisor Tools of the Trade :  In order to accomplish their daily goals, store supervisors use a variety of tools. Store supervisors should be comfortable with the following :  - Recent versions of Microsoft Office software suite some of the programs included in Microsoft Office, such as Excel, are valuable tools for store supervisors  - Financial software in addition to using traditional financial tools such as spreadsheets, store supervisors are typically required to operate financial software to keep track of expenses and sales  - Management software some store supervisors may have to use management software to keep track of employee training, promotions, raises, and disciplinary actions  - Telecommunications equipment from phones to portable radios to faxes, store supervisors should know how to use standard telecommunications equipment to communicate with employees and customers  Interested Candidate can apply or share their references.",3 - 8 yrs,HR,NA,NA
Sales Consultant - Automobile,Careerz Inn,"Automobile, Auto Anciliary, Auto Components",Post Sales Consultant,Not Disclosed by Recruiter,nagpur,"Looking for Smart Dynamic with Sales experience in any Automobile Industry who will be required to do sales for Passenger / Luxury cars. Details below:  Job Responsibilities:  -  Understands automobiles by studying characteristics, capabilities, and features; comparing and contrasting competitive models; inspecting automobiles.  -  Develops buyers by maintaining rapport with previous customers; suggesting trade-ins; meeting prospects at community activities; greeting drop-ins; responding to inquiries; recommending sales campaigns and promotions.  -  Qualifies buyers by understanding buyer's requirements and interests; matching requirements and interests to various models; building rapport.  -  Demonstrates automobiles by explaining characteristics, capabilities, and features; taking drives; explaining warranties and services.  -  Closes sales by overcoming objections; asking for sales; negotiating price; completing sales or purchase contracts; explaining provisions; explaining and offering warranties, services, and financing; collects payment; delivers automobile.  -  Provides sales management information by completing reports.  -  Updates job knowledge by participating in educational opportunities; reading professional publications.  -  Enhances dealership reputation by accepting ownership for accomplishing new and different requests; exploring opportunities to add value to job accomplishments.",2 - 7 yrs,HR,NA,NA
Visual Merchandiser - Apparel Store,Careerz Inn,"Retail, Wholesale",Visual Merchandiser,Not Disclosed by Recruiter,nagpur,"We are hiring for the role of Store Visual Merchandiser for International Apparel Brand. PFB the Job details:  Key Responsibilities:  - Planning & Execution of Visual Merchandising aspects includes Conceptualization and execution of windows and in-store display.   - Coordinating with Brand Head & Store Manager, guiding floor staff for merchandise displays.   - Handling Accounts Procedure & budgeting. Handling SOP (Standard Operating Procedure).  Vendor Management - Co-ordination & Ordering to vendor for VM props & elements.  Store Operation :  -  Setting up displays, dressing mannequins, and arranging banners, posters  -  Maintenance of signage and posters in & outside the store. Maintain the basic hygiene in terms of overall look of the store.  -  Drawing designs and plans by hand or computer  -  Coaching sales staff on how goods should be displayed  -  Handling Lights, music.  -  Controlling in-store display for all stores across the country  -  Coordination with Head Office  -  Compiling the reports like Costing, Budget spent Monthly report etc  -  Coordinating with the Head office in regards to upcoming season.  Desired Skills & Experience:  -  Qualification - Graduate preferably in any specialization/ Post Graduate in Retail Management/Visual Merchandising  -  Experience - Minimum 6 Months exp with relevant roles and responsibilities.( Freshers Can Also Apply )  -  Industry Preference: Retail Industry  -  Gender: Male/Female Location - Nagpur Please share this information with your friends or colleagues who are looking for the job and are suitable with the profile.",1 - 5 yrs,HR,NA,NA
Store Visual Merchandiser - Retail Sales,Careerz Inn,"Retail, Wholesale",Visual Merchandiser,Not Disclosed by Recruiter,nagpur,"We are hiring for the role of Store Visual Merchandiser for International Apparel Brand. PFB the Job details:  Key Responsibilities:  - Planning & Execution of Visual Merchandising aspects includes Conceptualization and execution of windows and in-store display.   - Coordinating with Brand Head & Store Manager, guiding floor staff for merchandise displays.   - Handling Accounts Procedure & budgeting. Handling SOP (Standard Operating Procedure).  Vendor Management - Co-ordination & Ordering to vendor for VM props & elements.  Store Operation :   -  Setting up displays, dressing mannequins, and arranging banners, posters  -  Maintenance of signage and posters in & outside the store. Maintain the basic hygiene in terms of overall look of the store.  -  Drawing designs and plans by hand or computer  -  Coaching sales staff on how goods should be displayed  -  Handling Lights, music.  -  Controlling in-store display for all stores across the country  -  Coordination with Head Office  -  Compiling the reports like Costing, Budget spent Monthly report etc  -  Coordinating with the Head office in regards to upcoming season.  Desired Skills & Experience:  -  Qualification - Graduate preferably in any specialization/ Post Graduate in Retail Management/Visual Merchandising  -  Experience - Minimum 6 Months exp with relevant roles and responsibilities.( Freshers Can Also Apply )  -  Industry Preference: Retail Industry  -  Gender : Male/Female  Please share this information with your friends or colleagues who are looking for the job and are suitable with the profile.",1 - 5 yrs,HR,NA,NA
Farm Manager - Vegitable Farming,Alloys Consulting Private Limited,"Agriculture, Dairy",Production Manager,Not Disclosed by Recruiter,nagpur,"Farm Manager - Vegitable farming (Exp 6 to 10 Yrs) Seoni Madhy Pradesh  Job Description : 1) Directs and coordinates worker activities, such as planting, irrigation, chemical application, harvesting, grading, payroll, and record-keeping.  2) Analyzes market conditions to determine acreage allocations.  3)Updates sales team with Crop Harvesting Plan for accurate logistic planning and selling of products   4)Managing the sales and marketing of farm products like crop harvest, livestocks, and dairy production, and planning the production yield on scheduled time for sending it at market auctions within the specified deadline  5) Records information, such as production, farm management practices,  parent stock, and prepares daily farm reports.   6) Determines procedural changes in drying, grading, storage, and shipment for greater efficiency and accuracy.  7) Analyzes soil to determine type and quantity of fertilizer required for maximum production.   8) good knowledge of pest identification, management and control   9) Thorough experience in vegetable farming and awareness of their package of practice.",6 - 10 yrs,HR,NA,NA
Zone Vice President - Core Tied Agency cum Partner Select,Prodigy Recruitment  Consulting (OPC) Pvt. Ltd.,Insurance,Sales Head,Not Disclosed by Recruiter,nagpur,Zone Vice President - Core Tied Agency cum Partner Select - Life Insurance Firm  - Working closely with Agency Head for the business planning & distribution strategy.  - Must identify and implement necessary changes to enable a business to perform to its optimum ability.  - Performing a challenging and diverse role.  - Drive the sales teams  - Implementing any operational changes and delivering measurable improvements  - Must review new and existing processes  - Playing a vital role in the decision making process regarding technology  - Helping in designing contest & RnR,10 - 20 yrs,NA,NA,NA
Cluster Branch Sales Head - Agency Distributors cum Motor Agent,Prodigy Recruitment  Consulting (OPC) Pvt. Ltd.,Insurance,Head/VP/GM/National Manager -Sales,Not Disclosed by Recruiter,nagpur,"Managing the team of BM, SM and Motor Agents   - Motivate, educate & develop the Sales IFA to deliver their best in an efficient & effective manner.   - Plan daily goals both, for the team as well as individuals & work towards achieving them.   - Schedule refresh training on monthly basis for Sales Teams.   - Devising & implementing pre & post marketing activities   - Ensuring lower cancellations & better renewals   - Managing Sales Manager and driving business through them   - Managing the Motor & Non - Motor Channel Partners",7 - 11 yrs,HR,NA,NA
Senior Divisional Manager - Tied Agency Channel - Life Insurance,Prodigy Recruitment  Consulting (OPC) Pvt. Ltd.,Insurance,Sales/Business Development-Manager,Not Disclosed by Recruiter,nagpur,"- Responsible for overall Development and Management of the Branches/Offices.   - Train the trainers & all the sales force for more effectiveness.   - Recruitment, Training, Build-up Agencies & Development.   - Strategizing the long term business directions of Redeveloping relationships with key decision - makers   - Strategizing the long term business directions of the region   - Development & Management of all the branch sales force   - Networking with financially strong and reliable dealers channel partners",4 - 9 yrs,HR,NA,NA
Manager - Private Clientele Group - Ultra HNI - Broking House,Prodigy Recruitment  Consulting (OPC) Pvt. Ltd.,Insurance,Sales/Business Development-Manager,Not Disclosed by Recruiter,nagpur,Manager - Private Clientele Group - Ultra HNI - Broking House (4-9 yrs)   - Identification of new investment ideas for proprietary & HNI's portfolio's  - Keep tab on investments & trading positions of serviced clients using all available resources  - Identification and pitching of new investment ideas -to Investment Committee team  - Acquiring clients through existing clients referrals  - Advising Corporate HNI clients with respect to their Investment Portfolios  - Tracking a mix of Large & Midcap stocks across sectors  - Supporting sales team with right client profiling,4 - 9 yrs,HR,NA,NA
Associate Regional Sales Manager - IMF & Affinity Channel,Prodigy Recruitment  Consulting (OPC) Pvt. Ltd.,Insurance,Regional Sales Manager,Not Disclosed by Recruiter,nagpur,"Associate Regional Sales Manager - IMF & Affinity Channel - Life Insurance (4-9 yrs)   Managing the Retails Sales of Branch, Zone and Region  - Driving the sales team of BM and Advisors  - Managing and hand holding IMF Agents  - Handling queries, claims and complains.  - Good knowledge of Life Insurance and people management.  Directing the functions pertaining to Activation of Advisors / BAs, new business premium YOY growth, persistency and people development  - Developing relationships with key decision-makers in target organizations for business development.  - Interfacing with clients for suggesting the most viable product range and cultivating relations with them for securing repeat business; ensuring quality delivery of services to the clients  - Providing technical service support to clients and resolving their issues / concerns  - Steering the complete business Business Associate Channel with direct reportees being Sr. Manager (Sales), Premier Academy Head, Agency Development Head and OOC (Office of the Customer Upsell) Head  - Enhancing the productivity and efficiency of the channel",4 - 6 yrs,HR,NA,NA
Senior Manager - Sales Strategy &amp; Alternate Distribution,Prodigy Recruitment  Consulting (OPC) Pvt. Ltd.,Insurance,Sales/Business Development Manager,Not Disclosed by Recruiter,nagpur,"Roles and responsibilities Senior Manager - Sales Strategy & Alternate Distribution - Life Insurance (11-20 yrs)  - Liaison with Agency-ZM, RMs and AMs to drive AL GWP & recruitment on a regular basis & sales target ownership  - Focus on building a large sustainable book of business across Broking, Bancassurance partners & agents  - Responsible for tracking performance.  - Manage distributor payouts and performance analysis  - Allocation of targets among different team members  - Responsible for hygiene of business sourced by the branch  - Plan necessary strategic and tactical interventions  - Create P&L reports",11 - 20 yrs,HR,NA,NA
